จังหวัด,ละติจูด,ลองจิจูด
อำนาจเจริญ,15.8656783,104.6257774
อ่างทอง,14.5896054,100.455052
กรุงเทพมหานคร,13.7563309,100.5017651
บึงกาฬ,18.3609104,103.6464463
บุรีรัมย์,14.9951003,103.1115915
ฉะเชิงเทรา,13.6904194,101.0779596
ชัยนาท,15.1851971,100.125125
ชัยภูมิ,16.0074974,101.6129172
จันทบุรี,12.6112485,102.1037806
เชียงใหม่,18.7883439,98.9853008
เชียงราย,19.9104798,99.840576
ชลบุรี,13.3611431,100.9846717
ชุมพร,10.4930496,99.1800199
กาฬสินธุ์,16.438508,103.5060994
กำแพงเพชร,16.4827798,99.5226618
กาญจนบุรี,14.1011393,99.4179431
ขอนแก่น,16.4321938,102.8236214
กระบี่,8.0862997,98.9062835
ลำปาง,18.2855395,99.5127895
ลำพูน,18.5744606,99.0087221
เลย,17.4860232,101.7223002
ลพบุรี,14.7995081,100.6533706
แม่ฮ่องสอน,19.3020296,97.9654368
มหาสารคาม,16.0132015,103.1615169
มุกดาหาร,16.5435914,104.7024121
นครนายก,14.2069466,101.2130511
นครปฐม,13.8140293,100.0372929
นครพนม,17.392039,104.7695508
นครราชสีมา,14.9738493,102.083652
นครสวรรค์,15.6987382,100.11996
นครศรีธรรมราช,8.4324831,99.9599033
น่าน,18.793,100.786
นราธิวาส,6.4254607,101.8253143
หนองบัวลำภู,17.2218247,102.4260368
หนองคาย,17.8782803,102.7412638
นนทบุรี,13.8591084,100.5216508
ปทุมธานี,14.0208391,100.5250276
ปัตตานี,6.7618308,101.3232549
พัทยา,12.9235557,100.8824551
พังงา,8.4501414,98.5255317
พัทลุง,7.6166823,100.0740231
พะเยา,19.2154367,100.2023692
เพชรบูรณ์,16.301669,101.1192804
เพชรบุรี,12.9649215,99.6425883
พิจิตร,16.2740876,100.3346991
พิษณุโลก,16.8211238,100.2658516
พระนครศรีอยุธยา,14.3692325,100.5876634
แพร่,18.1445774,100.1402831
ภูเก็ต,7.8804479,98.3922504
ปราจีนบุรี,14.0420699,101.6600874
ประจวบคีรีขันธ์,11.7938389,99.7957564
ระนอง,9.9528702,98.6084641
ราชบุรี,13.5282893,99.8134211
ระยอง,12.6813957,101.2816261
ร้อยเอ็ด,16.0538196,103.6520036
สระแก้ว,13.824038,102.0645839
สกลนคร,17.1664211,104.1486055
สมุทรปราการ,13.5990961,100.5998319
สมุทรสาคร,13.5475216,100.2743956
สมุทรสงคราม,13.4098217,100.0022645
สระบุรี,14.5289154,100.9101421
สตูล,6.6238158,100.0673744
ศรีสะเกษ,15.1186009,104.3220095
สิงห์บุรี,14.8936253,100.3967314
สงขลา,7.1897659,100.5953813
สุโขทัย,17.2509526716434,99.70987849511893
สุพรรณบุรี,14.4744892,100.1177128
สุราษฎร์ธานี,9.1341949,99.3334198
สุรินทร์,15.173573280934582,103.72003113312225
ตาก,16.521,98.929
ตรัง,7.5644833,99.6239334
ตราด,12.2427563,102.5174734
อุบลราชธานี,15.2448453,104.8472995
อุดรธานี,17.3646969,102.8158924
อุทัยธานี,15.3835001,100.0245527
อุตรดิตถ์,17.6200886,100.0992942
ยะลา,6.464,101.374
ยโสธร,15.792641,104.1452827
